id,description
1,"Active classic boxers - These boxers are a cult favorite known for comfort."
2,"Active sport boxer briefs - Made for maximum movement during intense activity."
3,"Alpine guide pants - Ideal for climbing, hiking, and rough outdoor terrain."
4,"Alpine wind jacket - Lightweight protection against alpine winds and cold."
5,"Ascensionist jacket - Designed for technical alpine pursuits and comfort."
6,"Atom bag - Multi-purpose courier bag perfect for city travel or hikes."
7,"Print banded betina bottom - Full coverage swim bottoms with a stylish print."
8,"Baby micro d-luxe cardigan - Soft, cozy fleece perfect for infants."
9,"Baby sun bucket hat - Protects babies from harsh sunlight with breathable fabric."
10,"Nike compression shirt - Keeps muscles engaged with tight compression fit."
